個案研判日,縣市別,區域,新增確診人數,累計確診人數
2023-03-08,澎湖縣,全區,19,27913
2023-03-08,花蓮縣,全區,119,146905
2023-03-08,苗栗縣,全區,220,228514
2023-03-08,金門縣,全區,39,26691
2023-03-08,雲林縣,全區,210,207491
2023-03-08,高雄市,全區,1168,1135133
2023-03-07,南投縣,全區,195,163708
2023-03-07,台中市,全區,1273,1239791
2023-03-07,台北市,全區,962,1003473
2023-03-07,台南市,全區,996,725430
2023-03-07,台東縣,全區,70,79742
2023-03-07,嘉義市,全區,105,97224
2023-03-07,嘉義縣,全區,177,151679
2023-03-07,基隆市,全區,190,181658
2023-03-07,境外移入,全區,145,56626
2023-03-07,宜蘭縣,全區,288,196482
2023-03-07,屏東縣,全區,298,278495
2023-03-07,彰化縣,全區,450,476814
2023-03-07,新北市,全區,2053,2087056
2023-03-07,新竹市,全區,295,227033
2023-03-07,新竹縣,全區,355,282567
2023-03-07,桃園市,全區,1240,1111301
2023-03-07,澎湖縣,全區,22,27894
2023-03-07,花蓮縣,全區,145,146786
2023-03-07,苗栗縣,全區,220,228294
2023-03-07,金門縣,全區,30,26652
2023-03-07,雲林縣,全區,220,207281
2023-03-07,高雄市,全區,1327,1133965
2023-03-06,南投縣,全區,182,163513
2023-03-06,台中市,全區,1373,1238518
2023-03-06,台北市,全區,905,1002511
2023-03-06,台南市,全區,1066,724434
2023-03-06,台東縣,全區,70,79672
2023-03-06,嘉義市,全區,138,97119
2023-03-06,嘉義縣,全區,192,151502
2023-03-06,基隆市,全區,146,181468
2023-03-06,境外移入,全區,162,56481
2023-03-06,宜蘭縣,全區,250,196194
2023-03-06,屏東縣,全區,311,278197
2023-03-06,彰化縣,全區,458,476364
2023-03-06,新北市,全區,1919,2085003
2023-03-06,新竹市,全區,219,226738
2023-03-06,新竹縣,全區,286,282212
2023-03-06,桃園市,全區,1136,1110061
2023-03-06,澎湖縣,全區,16,27872
2023-03-06,花蓮縣,全區,163,146641
2023-03-06,苗栗縣,全區,261,228074
2023-03-06,連江縣,全區,1,4051
2023-03-06,金門縣,全區,49,26622
2023-03-06,雲林縣,全區,260,207061
2023-03-06,高雄市,全區,1469,1132638
2023-03-05,南投縣,全區,133,163331
